% Model,Fuelcell_Final.mph
% Version,COMSOL 6.3.0.290
% Date,"Sep 1 2026, 22:42"
% Table,Probe Table 1 - 
% V_cell (V),"fc.iv_h2gder1/((W_ch+W_rib)*L)/1e4 (A/m^2), Domain Probe 1"
1.1,3.477493229322123E-5
1.05,1.250431591427108E-4
1,4.487756850281767E-4
0.9500000000000001,0.0016001204984569296
0.9000000000000001,0.005579138847225859
0.8500000000000001,0.018177435302539662
0.8,0.050731251100297414
0.75,0.11316232314647348
0.7000000000000001,0.20510401478161608
0.65,0.3202520959595416
0.6000000000000001,0.4523957670830326
0.55,0.5966925698557908
0.5,0.7493499438202704
0.45,0.9072146665216233
0.4,1.0674034011826006
0.35000000000000003,1.2268691636913078
0.30000000000000004,1.381742296329347
0.25,1.5262037130058501
0.19999999999999996,1.651440918532368
