% Model:              Fuelcell_Final.mph
% Version:            COMSOL 6.3.0.290
% Date:               Sep 5 2026, 23:15
% Table:              Accumulated Probe Table 3 - 
% V_cell (V)             fc.iv_h2gder1/((W_ch+W_rib)*L)/1e4 (A/m^2), Domain Probe 1
0.3                      1.3817419756522586
0.35                     1.2268689453042727
0.4                      1.0674033219983763
0.45                     0.9072145020286443
0.5                      0.7493499066713337
0.55                     0.5966925514422368
0.6000000000000001       0.4523957606800597
0.65                     0.32025209444094455
0.7                      0.20510401383499088
0.75                     0.11316232352523085
0.8                      0.05073125136907939
0.8500000000000001       0.01817743536271581
0.9000000000000001       0.005579138852215647
0.95                     0.0016001205013599835
1                        4.4877569804339766E-4
1.05                     1.2504316640699837E-4
1.1                      3.477493476769254E-5
