Time (s)	fc.iv_h2gder1/((W_ch+W_rib)*L)/1e4 (A/m^2), Domain Probe 1
0.0000	0.26222
0.0050999	0.26222
0.010100	0.26222
0.020100	0.26222
0.040099	0.26222
0.080098	0.26222
0.16010	0.26222
0.32009	0.26222
0.64009	0.26222
1.1401	0.26222
1.6401	0.26222
1.7651	0.26222
1.8276	0.26222
1.9526	0.26222
1.9682	0.26222
1.9760	0.26222
1.9916	0.26222
1.9936	0.26222
1.9946	0.26222
1.9951	0.26222
1.9954	0.26251
1.9957	0.26388
1.9960	0.26657
1.9962	0.26997
1.9964	0.27412
1.9966	0.27883
1.9967	0.28452
1.9969	0.29126
1.9973	0.30804
1.9976	0.32941
1.9983	0.38610
1.9990	0.46006
1.9997	0.54721
2.0003	0.62746
2.0009	0.69959
2.0014	0.76108
2.0019	0.81655
2.0023	0.86373
2.0028	0.90101
2.0033	0.92761
2.0038	0.94379
2.0043	0.95098
2.0048	0.95195
2.0053	0.95072
2.0058	0.94953
2.0063	0.94839
2.0068	0.94729
2.0077	0.94517
2.0087	0.94318
2.0107	0.93950
2.0126	0.93620
2.0146	0.93321
2.0165	0.93048
2.0185	0.92800
2.0205	0.92571
2.0224	0.92361
2.0263	0.91986
2.0302	0.91662
2.0342	0.91382
2.0381	0.91138
2.0420	0.90923
2.0459	0.90734
2.0498	0.90566
2.0577	0.90282
2.0655	0.90056
2.0733	0.89877
2.0812	0.89736
2.0890	0.89624
2.0968	0.89537
2.1125	0.89408
2.1281	0.89329
2.1438	0.89281
2.1595	0.89253
2.1751	0.89237
2.2065	0.89219
2.2691	0.89216
2.3318	0.89215
2.4571	0.89215
2.7077	0.89215
3.2077	0.89214
3.7077	0.89214
4.2077	0.89214
4.7077	0.89214
5.2077	0.89214
